Date,Description,Amount
05/11/2025,Payment Thank You - Web,600.00
05/06/2025,LATE FEE,-40.00
04/11/2025,PURCHASE INTEREST CHARGE,-170.69
04/06/2025,LATE FEE,-40.00
03/26/2025,RESOURCE FASHION,-100.00
03/26/2025,RESOURCE FASHION,-100.00
03/26/2025,RESOURCE FASHION,-100.00
03/26/2025,RESOURCE FASHION,-100.00
03/20/2025,RESOURCE FASHION,-93.77
03/16/2025,RESOURCE FASHION,-100.00
03/16/2025,RESOURCE FASHION,-100.00
03/16/2025,RESOURCE FASHION,-100.00
03/16/2025,RESOURCE FASHION,-100.00
03/14/2025,RESOURCE FASHION,-98.33
03/12/2025,PURCHASE INTEREST CHARGE,-139.26
03/11/2025,RESOURCE FASHION,-119.63
03/09/2025,TST* FRENCH 37,-68.41
03/07/2025,RESOURCE FASHION,-100.00
03/07/2025,RESOURCE FASHION,-100.00
03/07/2025,RESOURCE FASHION,-100.00
03/07/2025,RESOURCE FASHION,-100.00
03/07/2025,FACEBK,-14.92
03/07/2025,RESOURCE FASHION,-100.00
03/07/2025,RESOURCE FASHION,-100.00
03/07/2025,RESOURCE FASHION,-100.00
03/06/2025,Payment Thank You - Web,1000.00
02/12/2025,PURCHASE INTEREST CHARGE,-152.31
02/06/2025,LATE FEE,-40.00
01/27/2025,FACEBK,-7.00
01/26/2025,FACEBK,-2.00
01/12/2025,PURCHASE INTEREST CHARGE,-155.35
01/02/2025,Payment Thank You - Web,517.00
